id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
airbnb20479092,https://www.airbnb.es/rooms/20479092,-2.474753371282956,42.60276671599906,2017-08-19 14:27:39.398000,2017-09-27 20:59:26.232000,airbnb146195343,entire_home,5,9,8,1,57
airbnb19354701,https://www.airbnb.es/rooms/19354701,-2.4741034482759834,42.60362360641217,2017-08-14 22:48:09.061000,2017-09-08 04:05:57.016000,airbnb119273455,entire_home,2,3,4,1,54
airbnb19821490,https://www.airbnb.es/rooms/19821490,-2.4590250014645534,42.605601685075435,2017-08-14 22:48:09.062000,2017-09-27 20:59:31.780000,airbnb140047210,entire_home,3,12,0,2,120
airbnb18222633,https://www.airbnb.es/rooms/18222633,-2.4572790004591263,42.60405609094044,2017-08-14 22:48:09.061000,2017-09-27 20:59:35.606000,airbnb125717556,private_room,2,6,8,1,35
airbnb1727866,https://www.airbnb.es/rooms/1727866,-2.3500851208394216,42.609511890804164,2017-08-14 22:48:12.675000,2017-09-27 20:59:39.567000,airbnb9105299,entire_home,3,8,1,2,290
airbnb3034503,https://www.airbnb.es/rooms/3034503,-2.2858868113239885,42.56045395541226,2017-08-14 22:48:09.062000,2017-09-27 20:59:43.623000,airbnb15456565,private_room,1,8,4,1,45
airbnb17154134,https://www.airbnb.es/rooms/17154134,-2.1924611248208756,42.56493022086033,2017-08-14 22:48:12.675000,2017-09-27 20:59:48.154000,airbnb9468604,entire_home,3,6,0,2,90
airbnb13990824,https://www.airbnb.es/rooms/13990824,-2.192118796009106,42.572693466696464,2017-08-14 22:48:12.675000,2017-09-27 20:59:52.224000,airbnb36715482,entire_home,0,3,2,1,75
airbnb10736252,https://www.airbnb.es/rooms/10736252,-2.215479895264713,42.61588310957322,2017-08-14 22:48:12.676000,2017-09-27 20:59:55.336000,airbnb3162166,private_room,1,2,0,1,65
airbnb662896,https://www.airbnb.es/rooms/662896,-2.2150442786018933,42.61502661184721,2017-08-14 22:48:16.196000,2017-09-27 20:59:58.478000,airbnb3162166,private_room,2,4,2,2,70
airbnb5879859,https://www.airbnb.es/rooms/5879859,-2.2154706321466606,42.614224863644395,2017-08-14 22:48:09.061000,2017-09-27 21:00:02.298000,airbnb3162166,private_room,1,3,11,1,65
airbnb634832,https://www.airbnb.es/rooms/634832,-2.215426188822791,42.61430717728111,2017-08-14 22:48:16.196000,2017-09-27 21:00:05.934000,airbnb3162166,entire_home,7,16,7,2,350
airbnb662895,https://www.airbnb.es/rooms/662895,-2.215267279964753,42.61353142207416,2017-08-14 22:48:09.062000,2017-09-27 21:00:10.287000,airbnb3162166,entire_home,1,2,9,2,67
airbnb15003996,https://www.airbnb.es/rooms/15003996,-2.173637629784429,42.64995860488712,2017-08-14 22:48:12.675000,2017-09-27 21:00:14.786000,airbnb94644675,entire_home,6,12,5,2,90
airbnb992259,https://www.airbnb.es/rooms/992259,-2.147168071588267,42.6860369676641,2017-08-14 22:48:09.062000,2017-09-27 21:00:18.380000,airbnb5448870,entire_home,4,9,2,2,100
airbnb4131808,https://www.airbnb.es/rooms/4131808,-2.2509448363891638,42.666542128061465,2017-08-14 22:48:16.196000,2017-09-27 21:00:21.786000,airbnb9883047,private_room,1,2,0,2,55
airbnb2598639,https://www.airbnb.es/rooms/2598639,-2.2503157586954234,42.66606226850849,2017-08-14 22:48:12.676000,2017-09-27 21:00:24.897000,airbnb9883047,private_room,1,2,0,1,50
airbnb1903673,https://www.airbnb.es/rooms/1903673,-2.2500749867355854,42.66739668752994,2017-08-14 22:48:12.676000,2017-09-27 21:00:28.105000,airbnb9883047,private_room,1,3,0,1,50
airbnb4137263,https://www.airbnb.es/rooms/4137263,-2.2505141765325627,42.667690618238474,2017-08-14 22:48:12.675000,2017-09-27 21:00:31.695000,airbnb9883047,private_room,1,2,0,1,60
airbnb4128670,https://www.airbnb.es/rooms/4128670,-2.2493357573645483,42.6659684274648,2017-08-14 22:48:09.061000,2017-09-27 21:00:35.800000,airbnb9883047,private_room,1,2,0,2,55
airbnb11682901,https://www.airbnb.es/rooms/11682901,-2.234740703378338,42.711933648142505,2017-08-14 22:48:12.675000,2017-09-27 21:00:39.328000,airbnb58699657,entire_home,4,12,1,2,150
airbnb10851631,https://www.airbnb.es/rooms/10851631,-2.211066779878386,42.775876217826635,2017-08-14 22:49:16.661000,2017-09-27 21:00:43.549000,airbnb9435697,entire_home,4,11,35,2,78
airbnb432985,https://www.airbnb.es/rooms/432985,-2.1648038550171798,42.76712394328589,2017-08-14 22:49:16.662000,2017-09-27 21:00:47.211000,airbnb2151943,entire_home,4,10,8,2,110
