sqft_m2,price,discount,link,rooms,address,date
65.0,600.0,0,http://idealista.com/inmueble/29936410/,3,"calle felipe gorriti, 2º Ensanche, Pamplona/Iruña",2017-10-05
85.0,600.0,0,http://idealista.com/inmueble/38333075/,3,"La milagrosa, 1, Milagrosa, Pamplona/Iruña",2017-10-05
124.0,1200.0,0,http://idealista.com/inmueble/38332955/,3,"plaza de la libertad, s/n, 2º Ensanche, Pamplona/Iruña",2017-10-05
80.0,650.0,0,http://idealista.com/inmueble/30990429/,2,"avenida pamplona, Echavacoiz, Pamplona/Iruña",2017-10-05
116.0,750.0,0,http://idealista.com/inmueble/38299232/,3,"calle de Irunlarrea, 17, Mendebaldea, Pamplona/Iruña",2017-10-05
75.0,600.0,0,http://idealista.com/inmueble/38320788/,2,"tajonar, Milagrosa, Pamplona/Iruña",2017-10-05
90.0,550.0,0,http://idealista.com/inmueble/38319556/,3,"calle Doctor Antonio Simonena, San Jorge, Pamplona/Iruña",2017-10-05
90.0,1100.0,0,http://idealista.com/inmueble/38317910/,3,"calle Florencio de Ansoleaga, Casco Antiguo, Pamplona/Iruña",2017-10-05
80.0,675.0,0,http://idealista.com/inmueble/38317619/,3,"calle monasterio de irache, San Juan, Pamplona/Iruña",2017-10-05
60.0,500.0,0,http://idealista.com/inmueble/1163699/,2,"calle Tajonar, Milagrosa, Pamplona/Iruña",2017-10-05
76.0,750.0,0,http://idealista.com/inmueble/38312173/,2,"calle Remiro de Goñi, 2, Echavacoiz, Pamplona/Iruña",2017-10-05
110.0,700.0,0,http://idealista.com/inmueble/35140648/,4,"calle Goroabe, 29, Milagrosa, Pamplona/Iruña",2017-10-05
110.0,1200.0,0,http://idealista.com/inmueble/38311496/,4,"iturrama, Iturrama, Pamplona/Iruña",2017-10-05
50.0,550.0,0,http://idealista.com/inmueble/38309230/,2,"calle Jarauta, 84, Casco Antiguo, Pamplona/Iruña",2017-10-05
108.0,750.0,0,http://idealista.com/inmueble/38301748/,2,"calle Benjamín de Tudela, 21, Mendebaldea, Pamplona/Iruña",2017-10-05
36.0,580.0,0,http://idealista.com/inmueble/38308127/,1,"avenida de Barañáin, San Juan, Pamplona/Iruña",2017-10-05
110.0,1000.0,0,http://idealista.com/inmueble/37686395/,3,"calle Teodoro Ochoa de Alda, Echavacoiz, Pamplona/Iruña",2017-10-05
97.0,700.0,50,http://idealista.com/inmueble/27344087/,2,"paseo Sandua, 18, San Jorge, Pamplona/Iruña",2017-10-05
90.0,1000.0,0,http://idealista.com/inmueble/38282341/,3,"calle Teodoro Ochoa de Alda, Echavacoiz, Pamplona/Iruña",2017-10-05
85.0,700.0,50,http://idealista.com/inmueble/33684517/,2,"paseo sandua, San Jorge, Pamplona/Iruña",2017-10-05
130.0,950.0,150,http://idealista.com/inmueble/37798181/,4,"plaza Juan XXIII, 1, San Juan, Pamplona/Iruña",2017-10-05
102.0,700.0,0,http://idealista.com/inmueble/31027760/,3,"calle de irunlarrea, s/n, Mendebaldea, Pamplona/Iruña",2017-10-05
143.0,1250.0,0,http://idealista.com/inmueble/28889474/,3,"calle paulino caballero, 3, 2º Ensanche, Pamplona/Iruña",2017-10-05
250.0,2000.0,0,http://idealista.com/inmueble/38294375/,4,"calle pedro fernández serrano, Lezkairu, Pamplona/Iruña",2017-10-05
82.0,800.0,0,http://idealista.com/inmueble/38286289/,2,"calle de francisco bergamin kalea, 2º Ensanche, Pamplona/Iruña",2017-10-05
97.0,700.0,50,http://idealista.com/inmueble/27926776/,2,"paseo Sandua, San Jorge, Pamplona/Iruña",2017-10-05
243.0,2000.0,0,http://idealista.com/inmueble/38294989/,4,"calle Pedro Fernández Serrano, Lezkairu, Pamplona/Iruña",2017-10-05
243.0,2000.0,0,http://idealista.com/inmueble/38276439/,4,"calle pedro fernández serrano, Lezkairu, Pamplona/Iruña",2017-10-05
110.0,700.0,0,http://idealista.com/inmueble/38295965/,3,"calle Ermitagaña, Mendebaldea, Pamplona/Iruña",2017-10-05
162.0,1100.0,0,http://idealista.com/inmueble/27344730/,4,"calle del monasterio de urdax, 15, San Juan, Pamplona/Iruña",2017-10-05
