X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,nombre,tipo,zona,categoria,descripcion,servicios,direccion,num1,num2,cp,localidad,tfno1,tfno2,fax,email,paginaweb,observaciones,plazas,lng,lat
-1.720811,43.133005,Tresanea,,,,,,-1,-1,-1,,,Tresanea,Hotel-apartamento,Pirineos,Establecimiento hotelero,"&lt;br /&gt;&lt;b&gt;Ubicación:&lt;/b&gt; está situado en un reformado edificio de arquitectura tradicional y 4 alturas, en el centro de la localidad. &lt;br /&gt;&lt;b&gt;Servicios apartamentos:&lt;/b&gt; dispone de 6 apartamentos de 2 habitaciones y 3 de 1 habitación. Todos los apartamentos tienen nombres relacionados con el carnaval y las tradiciones de la zona y cuentan con 1 baño, teléfono, calefacción, climatización y salón-comedor con cocina incorporada. &lt;br /&gt;&lt;b&gt;Servicios del hotel-apartamento:&lt;/b&gt; cuenta con un salón-comedor con chimenea, climatización, juegos, TV, zona de bar, desayuno para los alojados, ascensor, servicio de cajas fuertes, custodia de valores, depósito de equipajes, aparcamiento, terraza y jardín con lavadero y pozo antiguos.&lt;br /&gt; &lt;br /&gt; &lt;strong&gt;*&lt;/strong&gt; Información sobre la &lt;strong&gt;&lt;a NUM_OBJETO=""2"" HREF=""http://www.turismo.navarra.es/imgs/rrtt/01\01\02\00\5467DOCAJ2.PDF"" TARGET=""_blank""&gt; &lt;/a&gt;&lt;a&gt; &lt;/a&gt; &lt;/strong&gt;&lt;a NUM_OBJETO=""5"" HREF=""http://www.turismo.navarra.es/imgs/rrtt/01\01\02\00\5467DOCAJ5.PDF"" TARGET=""_blank""&gt; &lt;strong&gt; accesibilidad de los apartamentos turísticos Tresanea (PDF accesible)&lt;/strong&gt;&lt;/a&gt;. Diagnóstico realizado por Equalitas Vitae.&lt;br /&gt;","Ascensor, Salón social, Bar, Restaurante, Parking, Jardín, Lavandería, Secador de pelo, Chimenea, Climatización, Deposito de equipajes, Desayuno, Teléfono común",CL Kontseilu kalea,11,,0,Ituren,948450287,0,948450287,info@tresanea.com,<a href='http://www.tresanea.com'>www.tresanea.com</a>,"Consultar precios en la página web: &lt;a HREF=""http://www.tresanea.com/espanol/tarifak.html""&gt;www.tresanea.com/espanol/tarifak.html&lt;/a&gt;",27,604040,4776379
-1.670617,43.24156,Venta de Etxalar,,,,,,-1,-1,-1,,,Venta de Etxalar,Hotel,Pirineos,Establecimiento hotelero,"&lt;b&gt;Ubicación: &lt;/b&gt;hotel situado en uno de los espacios naturales más hermosos de Navarra: el valle de Bidasoa, una tierra verde, con ríos, verdes prados y montañas pobladas de hayas y robles. Un entorno privilegiado para disfrutar de la naturaleza con actividades como el senderismo, o la pesca, entre otros. Inaugurado en 1997, el hotel cuenta con unas instalaciones modernas y confortables. Esta construido en piedra y madera de roble, como corresponde a la arquitectura de la zona. &lt;br /&gt;&lt;b&gt;Servicios de habitaciones: &lt;/b&gt;cuenta con 40 confortables habitaciones climatizadas que disponen de baño completo, TV, hilo musical y teléfono.&lt;br /&gt;&lt;b&gt;Servicios del hotel: &lt;/b&gt;dispone de parking y garaje cubierto, pista de padel, parque infantil, bar, &lt;a HREF=""http://www.turismo.navarra.es/esp/organice-viaje/recurso.aspx?o=64&amp;amp;idRC=2922""&gt;restaurante&lt;/a&gt; con comedores para carta y menú, sala de estar y sala de reuniones.&lt;br /&gt;","Terraza, Reservado, Bar, Parking, Climatización , Sillas bebé, TV, Área Wi-Fi, Ascensor, Degustaciones, Garaje, Ascensor, Wi-Fi, Restaurante, Garaje, Jardín, Aire acondicionado, TV, Secador de pelo, Aire acondicionado, Caja seguridad, Baño/aseo, Cuna , Terraza , Wi-fi, Opción de concertar masajes, TV",CR Pamplona-Irún Km. 60,0,,0,Etxalar,948635000,0,948635263,info@etxalar.com,<a href='http://www.etxalar.com'>www.etxalar.com</a>,,71,607931,4788498
-1.706998,43.246947,Atxaspi,,,,,,-1,-1,-1,,,Atxaspi,Hotel,Pirineos,Establecimiento hotelero,"&lt;br /&gt;&lt;b&gt;Ubicación: &lt;/b&gt;reformado en el 2000 por artesanos-restauradores, está situado en el centro de la localidad y muy próximo a la playa y los montes de Baztán. &lt;br /&gt;&lt;b&gt;Servicios de habitaciones: &lt;/b&gt;habitaciones exteriores con TV, Canal Digital, teléfono, hilo musical, mini-bar y secador de pelo. La decoración de las habitaciones recrea las distintas provincias del País Vasco y Navarra.&lt;br /&gt;&lt;b&gt;Servicios del hotel: &lt;/b&gt;el hotel ofrece una completa sala de relax, con sauna, ducha hidromasaje y spa (minipiscina para cuatro personas). Además dispone de salón social y sala de reuniones, conexión WIFI a Internet y jardín.&lt;br /&gt;","Wi-Fi, TV, Secador de pelo, Baño/aseo, Cuna , Terraza , Wi-fi, Servicios spa, Biblioteca, Sauna, TV",CL Bittiria,16,,0,Lesaka,948637536,647456611,948637854,hotela@atxaspi.com,<a href='http://www.atxaspi.com'>www.atxaspi.com</a>,Dispone de habitaciones para 4 personas.,16,604968,4789050
-1.638023,43.233972,La Basque,,,,,,-1,-1,-1,,,La Basque,Pensión,Pirineos,Establecimiento hotelero,"&lt;br&gt;&lt;B&gt;Ubicación:&lt;/B&gt; edificio tradicional de piedra situada en el casco urbano de la localidad. &lt;br/&gt;&lt;B&gt;Servicios de habitaciones: &lt;/B&gt;dispone de 6 habitaciones equipadas con baño completo y TV.&lt;br/&gt;&lt;B&gt;Servicios de la pensión: &lt;/B&gt;cuenta con parking, bar y restaurante.&lt;br/&gt;&lt;br/&gt;","Ascensor, Salón social, Bar, Restaurante, TV",CL Irañeta,1,,0,Etxalar,948635153,0,0,,,,11,610591,4787698
-1.543552,42.896885,Akerreta,,,,,,-1,-1,-1,,,Akerreta,Hotel,Pirineos,Establecimiento hotelero,"&lt;br&gt;&lt;B&gt;Ubicación: &lt;/B&gt;en pleno Camino de Santiago, esta casa del año 1723 ha sido cuidadosamente restaurada para convertirla en un acogedor hotel con encanto. Situada en un enclave privilegiado, conserva todos los elementos de las casas navarras de su época, horno de pan, cocina pirenaica y enormes vigas de roble.&lt;br/&gt;&lt;B&gt;Servicios de habitaciones: &lt;/B&gt;amplias habitaciones con suelo y techo de madera, todas ellas con baño completo, calefacción, teléfono y conexión WIFI a Internet.&lt;br/&gt;&lt;B&gt;Servicios del hotel: &lt;/B&gt;dispone de parking, varias salas de estar, comedor, restaurante, servicio de bar y jardín de uso exclusivo para clientes.&lt;br/&gt;","Internet, Wi-Fi, Salón social, Sala de reuniones, Bar, Restaurante, Parking, Jardín, Caja seguridad, Lavandería, Teléfono, Secador de pelo, Minibar, Internet",CL Transfiguración,11,,0,Akerreta,948304572,0,948304675,reservas@hotelakerreta.com,<a href='http://www.hotelakerreta.com'>www.hotelakerreta.com</a>,,20,618912,4750393
-1.096082,42.867678,Salazar,,,,,,-1,-1,-1,,,Salazar,Hostal,Pirineos,Establecimiento hotelero,"&lt;br&gt;&lt;b&gt;&lt;b&gt;Ubicación: &lt;/b&gt;&lt;/b&gt;pertenece al &lt;a HREF=""http://www.turismo.navarra.es/esp/organice-viaje/recurso.aspx?o=102&amp;amp;idRC=102""&gt;Hostal Oronz&lt;/a&gt;&lt;b&gt;&lt;b&gt; &lt;/b&gt;&lt;/b&gt;situado en el centro de la localidad, en el corazón del Pirineo navarro.&lt;br /&gt;&lt;b&gt;Instalaciones:&lt;/b&gt; dispone de un comedor con decoración moderna con toques rústicos. &lt;br /&gt;&lt;b&gt;Especialidades:&lt;/b&gt; cocina tradicional navarra. Ofrecen menús especiales y para niños.&lt;/br&gt;","Salón social, Sala de reuniones, Bar, Restaurante, Parking, Jardín, Piscina, TV, Secador de pelo, Parabólica",CL Mayor,2,,0,Oronz,948890053,0,948890648,hotelsalazar@gmail.com,<a href='http://www.hostalsalazar.com'>www.hostalsalazar.com</a>,El servicio de piscina está sujeto al cumplimiento por parte del establecimiento de la normativa de piscinas de uso colectivo.,24,655520,4747879
-1.830555,42.921699,Plazaola,,,,,,-1,-1,-1,,,Plazaola,Hotel,Pirineos,Establecimiento hotelero,"&lt;br /&gt;&lt;b&gt;&lt;b&gt;Ubicación: &lt;/b&gt;&lt;/b&gt;pertenece al &lt;a HREF=""http://www.turismo.navarra.es/esp/organice-viaje/recurso.aspx?o=4112&amp;amp;idRC=1346""&gt;Hotel Plazaola &lt;/a&gt;situado en un edificio de nueva construcción que simula 2 caseríos unidos por una zona acristalada en el polígono industrial de la localidad.&lt;br /&gt;&lt;b&gt;Instalaciones&lt;/b&gt;: dispone de un comedor y zona de bar.&lt;br /&gt;&lt;b&gt;Especialidades&lt;/b&gt;: &lt;br /&gt;&lt;br /&gt;","Bar, Internet, Wi-Fi, Business corner, Restaurante, Parking, Gimnasio, TV, Secador de pelo, Internet, Baño/aseo, Climatización, Wi-fi",CL Aralar,8,,0,Irurtzun,948506313,0,0,reservas@hotelplazaola.es,<a href='http://www.hotelplazaola.es'>www.hotelplazaola.es</a>,,68,595441,4752783
-0.923951,42.861398,Txabalkua,,,,,,-1,-1,-1,,,Txabalkua,Pensión,Pirineos,Establecimiento hotelero,"&lt;br&gt;&lt;B&gt;Ubicación: &lt;/B&gt;construcción moderna situada en el casco urbano. Ideal para el descanso sin ruidos.&lt;br/&gt;&lt;B&gt;Servicios de habitaciones: &lt;/B&gt;consta de 7 habitaciones abuhardilladas con techo de madera, 1 individual y 6 dobles, una de ellas con baño de uso exclusivo.&lt;br/&gt;",,CL Izarjentea,16, ,0,Isaba,626899303,656866792,0,info@onkixin.com,<a href='http://www.onkixin.com'>www.onkixin.com</a>,,15,669598,4747514
-1.504675,42.929864,Benta Berri,,,,,,-1,-1,-1,,,Benta Berri,Pensión,Pirineos,Establecimiento hotelero,"&lt;br&gt;&lt;B&gt;Ubicación: &lt;/B&gt;situada en la localidad de Zubiri, considerada la capital del Valle de Esteribar, en pleno Camino de Santiago.&lt;br/&gt;&lt;B&gt;Servicios de habitaciones: &lt;/B&gt;dispone de 3 habitaciones dobles y un baño completo.&lt;br/&gt;&lt;B&gt;Servicios de la pensión: &lt;/B&gt;sala de estar. Se guardan bicicletas y animales.&lt;br/&gt;",Salón social,CL Roncesvalles,10,4º Izda,0,Zubiri,606558662,0,0,bentaberri@hotmail.com,,,6,622021,4754111
-1.687194,43.108968,Oitzko Ostatua,,,,,,-1,-1,-1,,,Oitzko Ostatua,Hostal,,Establecimiento hotelero,"&lt;br /&gt;&lt;b&gt;Ubicación: &lt;/b&gt;clásica posada ubicada en un sencillo y tranquilo pueblo ganadero.&lt;br /&gt;&lt;b&gt;Servicios de habitaciones: &lt;/b&gt;cuenta con 5 habitaciones dobles con baño. En dos de ellas se pueden poner supletorias.&lt;br /&gt;&lt;b&gt;Servicios del hostal: &lt;/b&gt;la posada dispone de parking, bar, &lt;a HREF=""http://www.turismo.navarra.es/esp/organice-viaje/recurso.aspx?o=267&amp;amp;idRC=3003""&gt;restaurante&lt;/a&gt; y sala de estar.&lt;br /&gt;","Bar, Wi-Fi, Restaurante, Parking, Aire acondicionado, Baño/aseo, Wi-fi, TV",CL Única,0,S/N,0,Oiz,948110566,0,0,info@oitzkoostatua.com,,,10,606816,4773752
