"X,N,24,15","Y,N,24,15","id,C,254","url,C,254","longitude,N,24,15","latitude,N,24,15","found,C,254","revised,C,254","host-id,C,254","room_type,C,254","bedrooms,N,10,0","capacity,N,10,0","reviews,N,10,0","min_nights,N,10,0","price,N,10,0","FEATURE,N,10,0","BARRIO,C,254","SECCIONES,C,254","URL1,C,254","URL2,C,254","URL3,C,254","URLPDF1,C,254","URLPDF2,C,254","GEOM_AREA,N,24,15","GEOM_PERI,N,24,15","BEGINLIFE,C,254",distance,price_per_place,distance_normalized
-1.6779263367,42.803215686,airbnb6942130,https://www.airbnb.es/rooms/6942130,-1.6779263367,42.803215686,2017-08-14 02:15:09.673000,2017-09-27 21:14:47.787000,airbnb25428104,private_room,1,2,9,1,20,60100017,Etxabakoitz,"D 4 Iturrama (1-26, la 23 no existe): 12, 13, 26",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,1099443.07,5729.41,23/11/2015,0.0376894283,10,0.7084018081
-1.6773871048,42.8028155992,airbnb6805544,https://www.airbnb.es/rooms/6805544,-1.6773871048,42.8028155992,2017-08-14 02:15:24.323000,2017-09-27 21:14:51.615000,airbnb25428104,private_room,1,2,40,1,20,60100017,Etxabakoitz,"D 4 Iturrama (1-26, la 23 no existe): 12, 13, 26",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,1099443.07,5729.41,23/11/2015,0.0373369645,10,0.7017769815
-1.676805866,42.8026020107,airbnb6805193,https://www.airbnb.es/rooms/6805193,-1.676805866,42.8026020107,2017-08-14 02:15:16.943000,2017-09-27 21:14:58.697000,airbnb25428104,private_room,1,2,5,1,20,60100017,Etxabakoitz,"D 4 Iturrama (1-26, la 23 no existe): 12, 13, 26",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,1099443.07,5729.41,23/11/2015,0.0368818767,10,0.6932232559
-1.6775104813,42.8021576223,airbnb19010455,https://www.airbnb.es/rooms/19010455,-1.6775104813,42.8021576223,2017-08-14 02:15:24.323000,2017-09-27 21:15:02.011000,airbnb17565944,private_room,0,2,3,1,60,60100017,Etxabakoitz,"D 4 Iturrama (1-26, la 23 no existe): 12, 13, 26",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,1099443.07,5729.41,23/11/2015,0.0377040032,30,0.708675756
-1.6788268196,42.8026627149,airbnb3495274,https://www.airbnb.es/rooms/3495274,-1.6788268196,42.8026627149,2017-08-14 02:15:20.626000,2017-09-27 21:15:05.771000,airbnb17565944,private_room,1,2,16,1,70,60100017,Etxabakoitz,"D 4 Iturrama (1-26, la 23 no existe): 12, 13, 26",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,1099443.07,5729.41,23/11/2015,0.0387298109,35,0.7279566012
-1.6863362778,42.8071034585,airbnb13616275,https://www.airbnb.es/rooms/13616275,-1.6863362778,42.8071034585,2017-08-14 02:15:24.323000,2017-09-27 21:15:39.957000,airbnb78837839,private_room,1,2,4,1,90,60100017,San Jorge-Sanduzelai,"D 7 Arrotxapea (1-23): 10 a 14,  17,  20",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,1515130.6,8379.2,23/11/2015,0.0446124701,45,0.8385257064
-1.654389744,42.7988767715,airbnb19220476,https://www.airbnb.es/rooms/19220476,-1.654389744,42.7988767715,2017-08-14 02:33:06.371000,2017-09-27 21:17:32.364000,airbnb129253357,private_room,1,2,0,1,250,60100017,Iturrama,"D 4 Iturrama (1-26, la 23 no existe): 1, 3 a 10, 14 a 20, 22,  24",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,2405438.39,8323.44,23/11/2015,0.0214376945,125,0.4029379653
-1.6522897117,42.8026568699,airbnb19455403,https://www.airbnb.es/rooms/19455403,-1.6522897117,42.8026568699,2017-08-14 02:32:37.361000,2017-09-27 21:17:36.100000,airbnb8625023,private_room,1,2,1,1,60,60100017,Iturrama,"D 4 Iturrama (1-26, la 23 no existe): 1, 3 a 10, 14 a 20, 22,  24",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,2405438.39,8323.44,23/11/2015,0.0171242027,30,0.3218625675
-1.6525343863,42.7997873928,airbnb18610416,https://www.airbnb.es/rooms/18610416,-1.6525343863,42.7997873928,2017-08-14 02:32:37.361000,2017-09-27 21:17:39.639000,airbnb129253357,private_room,5,15,3,1,400,60100017,Iturrama,"D 4 Iturrama (1-26, la 23 no existe): 1, 3 a 10, 14 a 20, 22,  24",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,2405438.39,8323.44,23/11/2015,0.019698729,26.6666666667,0.3702527709
-1.6487112233,42.8031543694,airbnb7158000,https://www.airbnb.es/rooms/7158000,-1.6487112233,42.8031543694,2017-08-14 02:32:37.361000,2017-09-27 21:17:43.311000,airbnb37486284,entire_home,4,8,34,1,73,60100017,Iturrama,"D 4 Iturrama (1-26, la 23 no existe): 1, 3 a 10, 14 a 20, 22,  24",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,2405438.39,8323.44,23/11/2015,0.0149768858,9.125,0.2815020938
-1.6379787144,42.7971293708,airbnb18138509,https://www.airbnb.es/rooms/18138509,-1.6379787144,42.7971293708,2017-08-14 02:33:39.880000,2017-09-27 21:17:46.772000,airbnb88631373,entire_home,4,8,4,1,150,60100017,Milagrosa-Arrosadia,"D 5 Milagrosa (1-12): 1 a 7,   9 a 12",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,2525985.48,7648.39,23/11/2015,0.0203766195,18.75,0.382994244
-1.6378925224,42.7980405653,airbnb4266740,https://www.airbnb.es/rooms/4266740,-1.6378925224,42.7980405653,2017-08-14 02:34:27.553000,2017-09-27 21:17:50.852000,airbnb22109206,entire_home,3,6,1,4,110,60100017,Milagrosa-Arrosadia,"D 5 Milagrosa (1-12): 1 a 7,   9 a 12",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,2525985.48,7648.39,23/11/2015,0.0195142713,18.3333333333,0.3667857469
-1.6407306368,42.7972014537,airbnb16656456,https://www.airbnb.es/rooms/16656456,-1.6407306368,42.7972014537,2017-08-14 02:33:44.181000,2017-09-27 21:17:54.209000,airbnb63391678,private_room,1,2,3,1,40,60100017,Milagrosa-Arrosadia,"D 5 Milagrosa (1-12): 1 a 7,   9 a 12",http://www.pamplona.es/verPagina.asp?idPag=1521&idioma=1,http://www.pamplona.es/verPagina.asp?idPag=1522&idioma=1,http://www.pamplona.es/srv/opendata/verPagina.aspx?idioma=1&nifEntidad=P3120100G&paginaOpenData=2&cbotipos=2,http://www.pamplona.es/opendatadocs/LibroDem1DEFINITIVO.pdf,http://www.pamplona.es/opendatadocs/LibroDem2DEFINITIVO.pdf,2525985.48,7648.39,23/11/2015,0.0198317211,20,0.3727524593
